lag,OR_cumm,lower_CI,upper_CI,model
lag1,1.0935927405799215,1.0282821327674352,1.1630515051646708,66yrs
lag2,1.1501489147060109,1.0462561542404898,1.264358179053874,66yrs
lag3,1.1671307657803647,1.0521745146584647,1.2946466631281484,66yrs
lag4,1.1502712137859545,1.0435726907168434,1.2678789671620694,66yrs
lag5,1.11190768178957,1.0173844427394616,1.215212893853209,66yrs
lag6,1.0679777893112037,0.9771717655830046,1.1672221800038909,66yrs
lag7,1.032566397556637,0.9412319331219323,1.1327636981319573,66yrs
lag8,1.0148654928893703,0.9302746456451104,1.1071482744145429,66yrs
lag9,1.0206621695382685,0.9573761964509582,1.0881315706285468,66yrs
lag10,1.0538110192447792,1.013987497288109,1.0951985771538397,66yrs
lag1,1.0025259141139873,0.9500654530233624,1.057883122969814,65yrs
lag2,1.0078808365432705,0.9269627565821354,1.095862561314408,65yrs
lag3,1.0155974050702699,0.9247812209917088,1.1153320004480425,65yrs
lag4,1.0246946644205674,0.9355742106779328,1.1223045091539372,65yrs
lag5,1.0336425749717384,0.9485674238919575,1.1263479494272612,65yrs
lag6,1.0403556345555196,0.9546844862683387,1.1337147109010406,65yrs
lag7,1.0427045669039519,0.9551545811530412,1.1382794317228468,65yrs
lag8,1.0390854655155315,0.9574028619823179,1.12773697209354,65yrs
lag9,1.028521773018409,0.9656500202769609,1.0954869935895872,65yrs
lag10,1.010715152197076,0.9661732027011792,1.05731054848631,65yrs
