lag,OR,lower_CI,upper_CI,model
lag1,1.0935927405799215,1.0282821327674352,1.1630515051646708,66yrs
lag2,1.051715937777804,1.016690431213933,1.087948090998702,66yrs
lag3,1.0147649150968372,0.9970325249046207,1.032812678814064,66yrs
lag4,0.9855547017620279,0.9601972799687278,1.011581776400027,66yrs
lag5,0.9666482725668528,0.9322079368472748,1.0023610032935886,66yrs
lag6,0.9604914210074861,0.9255777463054595,0.996722072793355,66yrs
lag7,0.9668425765882216,0.9403052995404272,0.9941287881293722,66yrs
lag8,0.9828573690668683,0.9669557254554129,0.999020516140053,66yrs
lag9,1.0057117683964156,0.9791173984816047,1.0330284832642045,66yrs
lag10,1.0324777881416987,0.9800413923954224,1.0877197547752817,66yrs
lag1,1.0025259141139873,0.9500654530233624,1.057883122969814,65yrs
lag2,1.0053414304347594,0.9749683908128705,1.0366606766665913,65yrs
lag3,1.0076562310217791,0.9906550839042748,1.0249491436669702,65yrs
lag4,1.0089575448941486,0.9864678026249606,1.0319600139913065,65yrs
lag5,1.0087322700721104,0.9783598568815373,1.0400475709706474,65yrs
lag6,1.0064945656712765,0.97566296485073,1.0383004656539345,65yrs
lag7,1.0022578167219094,0.9788621557318951,1.0262126544560184,65yrs
lag8,0.9965291209962124,0.9816720323846709,1.0116110638103077,65yrs
lag9,0.9898336634976593,0.966139416826521,1.0141090036585516,65yrs
lag10,0.9826871717366994,0.9391309824018768,1.0282634644063293,65yrs
