lag,OR_cumm,lower_CI,upper_CI,lag_constr
lag1,1.0389989058464757,0.9986803409643891,1.0809452054575561,3-df
lag2,1.0646408693073195,1.0014407901544766,1.1318294518686458,3-df
lag3,1.0769177966693602,1.0063892478249576,1.1523890416056055,3-df
lag4,1.0774328114683924,1.009866712788535,1.149519484629025,3-df
lag5,1.0692551062096343,1.00660046332409,1.1358096124651513,3-df
lag6,1.0566039252566317,0.9943793854381351,1.122722243860494,3-df
lag7,1.0436121249235948,0.9801907500748128,1.1111370589902152,3-df
lag8,1.0332782595913543,0.9743706924582127,1.0957472038188656,3-df
lag9,1.027504169975422,0.9831292443380385,1.0738820204944155,3-df
lag10,1.0272033879155351,0.9976041686998922,1.0576808249711431,3-df
lag1,1.0366712194904224,0.979935133722741,1.0966921996531123,4-df
lag2,1.0619537143772293,0.9859387628860256,1.1438293471477612,4-df
lag3,1.075536680719455,1.003345778291662,1.1529217310732132,4-df
lag4,1.0781101354635745,1.0084570598067486,1.1525740762943575,4-df
lag5,1.0714132916644898,0.9995620363818617,1.14842941185573,4-df
lag6,1.0585006339768954,0.9917447239739356,1.1297499901385264,4-df
lag7,1.0436119282047083,0.9801871004957533,1.1111407772457906,4-df
lag8,1.0314830230236882,0.9657609340288296,1.1016776401874273,4-df
lag9,1.0254212511589487,0.970840064456697,1.0830710235643388,4-df
lag10,1.0270243548414664,0.9972827320984127,1.0576529518546238,4-df
lag1,1.0408823674465613,0.9983721594660606,1.0852026397056092,3-df with/parish ses
lag2,1.0662510739062447,0.9995030780506284,1.1374565797471536,3-df with/parish ses
lag3,1.0762140031422047,1.0016426505688303,1.156337122726962,3-df with/parish ses
lag4,1.0729251364713657,1.0014906946924471,1.1494548622097946,3-df with/parish ses
lag5,1.0603451939865205,0.9944309649454433,1.1306284398253783,3-df with/parish ses
lag6,1.043784657749859,0.9790721438602965,1.1127743941915773,3-df with/parish ses
lag7,1.0283454812080863,0.9630274153340018,1.0980937945098117,3-df with/parish ses
lag8,1.0176703547935326,0.9571655834730092,1.0819997802969463,3-df with/parish ses
lag9,1.0140641861937632,0.9681656992021866,1.0621386138428652,3-df with/parish ses
lag10,1.0186832310900262,0.9874718653939295,1.0508811052455076,3-df with/parish ses
lag1,1.0427557116074864,1.0002988952198422,1.087014570630975,3-df w/out parish ses/indiv
lag2,1.069577258556436,1.0028771017509295,1.1407135630315939,3-df w/out parish ses/indiv
lag3,1.0804995864000173,1.0060138796721818,1.1605002473634274,3-df w/out parish ses/indiv
lag4,1.0776844666278282,1.006435147456531,1.1539777923555365,3-df w/out parish ses/indiv
lag5,1.0651745531276404,0.9995299952050468,1.1351303453358734,3-df w/out parish ses/indiv
lag6,1.0484148892252216,0.9839509543537333,1.117102204216144,3-df w/out parish ses/indiv
lag7,1.032642301565137,0.9675073919095885,1.1021622489902294,3-df w/out parish ses/indiv
lag8,1.0215944985267937,0.9612720582421369,1.0857023362654767,3-df w/out parish ses/indiv
lag9,1.017632089583554,0.9720437646082689,1.065358482256737,3-df w/out parish ses/indiv
lag10,1.021933206487425,0.9912237327540275,1.0535941019289792,3-df w/out parish ses/indiv
