lag,OR_cumm,lower_CI,upper_CI,lag_constr
lag1,1.0627888465394586,1.002486804916747,1.126718203959279,inpatient
lag2,1.0962288619966392,1.002290539190579,1.1989714268329013,inpatient
lag3,1.1003600328637848,0.9977213380337249,1.2135574892185603,inpatient
lag4,1.0806669378470806,0.9855688922681114,1.1849410423945177,inpatient
lag5,1.0468600562944932,0.9613319401747605,1.1399974677484273,inpatient
lag6,1.0110312177776233,0.9267869596788892,1.1029332174408968,inpatient
lag7,0.9839185262612986,0.8977691151203392,1.0783347856541488,inpatient
lag8,0.972721627776498,0.8922571405243939,1.0604424690712706,inpatient
lag9,0.9821934161413137,0.9215078619147202,1.0468753947544955,inpatient
lag10,1.0156791855324256,0.9759837798284388,1.0569890906436479,inpatient
