lag,OR_cumm,lower_CI,upper_CI,model
lag1,1.0418364364697563,0.9870210944594383,1.099696011006182,male
lag2,1.071809972679689,0.9857313960661833,1.1654053245337692,male
lag3,1.0895605060840436,0.9928776823780229,1.195657952120361,male
lag4,1.0959567493619564,1.0024348897413606,1.1982037025685814,male
lag5,1.0930342643115607,1.0055574241858458,1.1881210105195417,male
lag6,1.083793318375179,0.9967268485594812,1.1784652521924972,male
lag7,1.0712862438096031,0.982733201584295,1.167818706364575,male
lag8,1.0577931435299386,0.9756810030615547,1.146815743042972,male
lag9,1.0447811384107375,0.9827063985068897,1.1107769612952039,male
lag10,1.032941804465116,0.9913089557169398,1.0763231435148197,male
lag1,1.044310949560483,0.984406900852493,1.1078603354237706,female
lag2,1.0696309640247021,0.9764447425385633,1.1717103378793896,female
lag3,1.0763408024271517,0.9733698984248925,1.1902047976254715,female
lag4,1.0677071288959956,0.9702350991109092,1.1749714209885693,female
lag5,1.0494292851432487,0.9600496290946514,1.1471300973834266,female
lag6,1.0288967290510203,0.9406135097210215,1.1254659518614283,female
lag7,1.0130405644826603,0.923075274795607,1.1117741026208139,female
lag8,1.006770600337167,0.9228678564524246,1.098301381521258,female
lag9,1.0133457533083512,0.9499076301788406,1.081020494123981,female
lag10,1.0347742574410876,0.9929739189243066,1.0783342275723728,female
