lag,OR,lower_CI,upper_CI,model
lag1,1.044310949560483,0.984406900852493,1.1078603354237706,female
lag2,1.0242456659818377,0.9911182929105402,1.0584802962336906,female
lag3,1.0062730405421347,0.9885519664532906,1.0243117878312955,female
lag4,0.9919786804405378,0.9671402348516213,1.017455035979885,female
lag5,0.9828812197108339,0.949281369763981,1.0176703376159653,female
lag6,0.9804345501093712,0.9464273197597354,1.0156637355863662,female
lag7,0.9845891583473257,0.9589024458584593,1.0109639566798934,female
lag8,0.9938107472046835,0.9781414315813806,1.0097310770925654,female
lag9,1.0065309346230236,0.9800418755702214,1.0337359531332668,female
lag10,1.0211462909503266,0.9702663934727377,1.0746942845144598,female
lag1,1.0418364364697563,0.9870210944594383,1.099696011006182,male
lag2,1.0287699058707311,0.997962726049099,1.0605281055088245,male
lag3,1.016561269121219,0.9998395832245941,1.0335626146591668,male
lag4,1.0058704801084442,0.9830535359183022,1.029217011877649,male
lag5,0.9973333938113004,0.9665270196472264,1.0291216677772892,male
lag6,0.9915456026969091,0.96037838278926,1.0237242943475502,male
lag7,0.988459908034563,0.9648755690602667,1.0126207162062255,male
lag8,0.9874047665993714,0.972765674067444,1.0022641619605117,male
lag9,0.9876989133472931,0.9640455413109714,1.011932633494481,male
lag10,0.9886681205179193,0.9442720211709407,1.0351515565571177,male
